"","DATE","HOME_TEAM","AWAY_TEAM","WINNER","0","1"
"207","2014-11-25","NOP","SAC","AWAY",76,65
"208","2014-11-25","WAS","ATL","AWAY",90,64
"209","2014-11-26","ATL","TOR","AWAY",64,74
"210","2014-11-26","CHA","POR","AWAY",96,71
"211","2014-11-26","CLE","WAS","HOME",59,59
"212","2014-11-26","DAL","NYK","HOME",79,56
"213","2014-11-26","DET","LAC","AWAY",64,59
"214","2014-11-26","HOU","SAC","HOME",80,60
"215","2014-11-26","LAL","MEM","AWAY",84,66
"216","2014-11-26","MIN","MIL","AWAY",68,46
"217","2014-11-26","OKC","UTA","HOME",71,63
"218","2014-11-26","ORL","GSW","AWAY",81,75
"219","2014-11-26","PHI","BKN","AWAY",69,60
"220","2014-11-26","PHX","DEN","HOME",88,81
"221","2014-11-26","SAS","IND","HOME",76,73
"222","2014-11-28","ATL","NOP","HOME",74,70
"223","2014-11-28","BOS","CHI","AWAY",92,69
"224","2014-11-28","CHA","GSW","AWAY",93,75
"225","2014-11-28","DEN","PHX","HOME",75,55
"226","2014-11-28","DET","MIL","AWAY",60,48
"227","2014-11-28","HOU","LAC","AWAY",74,54
"228","2014-11-28","IND","ORL","HOME",86,68
"229","2014-11-28","LAL","MIN","AWAY",71,87
"230","2014-11-28","OKC","NYK","HOME",65,54
"231","2014-11-28","POR","MEM","AWAY",88,74
"232","2014-11-28","SAS","SAC","HOME",75,75
"233","2014-11-28","TOR","DAL","AWAY",86,75
"234","2014-11-29","ATL","CHA","HOME",68,50
"235","2014-11-29","CLE","IND","HOME",75,68
"236","2014-11-29","MIL","HOU","AWAY",58,57
"237","2014-11-29","PHI","DAL","AWAY",88,68
"238","2014-11-29","UTA","LAC","AWAY",67,75
"239","2014-11-29","WAS","NOP","HOME",82,59
"240","2014-11-30","BKN","CHI","AWAY",78,61
"241","2014-11-30","BOS","SAS","AWAY",87,70
"242","2014-11-30","DET","GSW","AWAY",86,62
"243","2014-11-30","LAL","TOR","HOME",107,91
"244","2014-11-30","NYK","MIA","AWAY",77,55
"245","2014-11-30","PHX","ORL","AWAY",85,60
"246","2014-11-30","POR","MIN","HOME",83,70
"247","2014-11-30","SAC","MEM","AWAY",74,63
"248","2014-12-01","LAC","MIN","HOME",71,66
"249","2014-12-01","PHI","SAS","AWAY",78,62
"250","2014-12-01","UTA","DEN","AWAY",79,67
"251","2014-12-01","WAS","MIA","HOME",63,65
"252","2014-12-02","ATL","BOS","HOME",73,83
"253","2014-12-02","CHI","DAL","AWAY",100,84
"254","2014-12-02","CLE","MIL","HOME",64,64
"255","2014-12-02","DEN","POR","AWAY",79,78
"256","2014-12-02","DET","LAL","AWAY",81,62
"257","2014-12-02","GSW","ORL","HOME",86,74
"258","2014-12-02","NOP","OKC","HOME",84,66
"259","2014-12-02","NYK","BKN","AWAY",88,69
"260","2014-12-02","PHX","IND","HOME",81,77
"261","2014-12-02","SAC","TOR","AWAY",79,79
"262","2014-12-03","BKN","SAS","HOME",118,73
"263","2014-12-03","BOS","DET","HOME",102,63
"264","2014-12-03","CHA","CHI","AWAY",89,69
"265","2014-12-03","HOU","MEM","HOME",60,63
"266","2014-12-03","LAC","ORL","HOME",61,66
"267","2014-12-03","MIA","ATL","AWAY",54,71
"268","2014-12-03","MIL","DAL","AWAY",75,62
"269","2014-12-03","MIN","PHI","AWAY",95,59
"270","2014-12-03","UTA","TOR","AWAY",72,84
"271","2014-12-03","WAS","LAL","HOME",98,78
"272","2014-12-04","GSW","NOP","HOME",98,78
"273","2014-12-04","NYK","CLE","AWAY",72,56
"274","2014-12-04","POR","IND","HOME",100,66
"275","2014-12-05","BKN","ATL","AWAY",78,57
"276","2014-12-05","BOS","LAL","HOME",83,77
"277","2014-12-05","CHA","NYK","HOME",74,67
"278","2014-12-05","DAL","PHX","AWAY",75,76
"279","2014-12-05","MEM","SAS","AWAY",84,69
"280","2014-12-05","MIL","MIA","HOME",58,49
"281","2014-12-05","MIN","HOU","AWAY",74,72
"282","2014-12-05","PHI","OKC","AWAY",78,63
"283","2014-12-05","SAC","IND","HOME",101,69
"284","2014-12-05","TOR","CLE","AWAY",84,67
"285","2014-12-05","UTA","ORL","AWAY",70,64
"286","2014-12-05","WAS","DEN","HOME",83,72
"287","2014-12-06","CHI","GSW","AWAY",92,74
"288","2014-12-06","DET","PHI","AWAY",84,58
"289","2014-12-06","HOU","PHX","HOME",96,59
"290","2014-12-06","LAC","NOP","HOME",61,76
"291","2014-12-06","SAC","ORL","AWAY",76,71
"292","2014-12-06","SAS","MIN","HOME",68,73
"293","2014-12-07","ATL","DEN","HOME",101,67
"294","2014-12-07","BOS","WAS","HOME",99,65
"295","2014-12-07","DAL","MIL","HOME",59,68
"296","2014-12-07","DET","OKC","AWAY",69,58
"297","2014-12-07","LAL","NOP","AWAY",84,75
"298","2014-12-07","MEM","MIA","HOME",62,73
"299","2014-12-07","NYK","POR","AWAY",69,57
"300","2014-12-08","BKN","CLE","AWAY",70,54
"301","2014-12-08","IND","ATL","AWAY",78,75
"302","2014-12-08","LAC","PHX","HOME",93,82
"303","2014-12-08","MIN","GSW","AWAY",90,65
"304","2014-12-08","SAC","UTA","HOME",75,60
"305","2014-12-08","TOR","DEN","HOME",97,83
"306","2014-12-08","WAS","BOS","HOME",91,95
"307","2014-12-09","CLE","TOR","HOME",69,67
"308","2014-12-09","DET","POR","AWAY",84,67
"309","2014-12-09","LAL","SAC","HOME",95,67
"310","2014-12-09","MEM","DAL","HOME",82,62
"311","2014-12-09","NOP","NYK","HOME",55,65
"312","2014-12-09","OKC","MIL","HOME",70,55
"313","2014-12-09","PHX","MIA","AWAY",71,71
"314","2014-12-09","UTA","SAS","HOME",76,72
"315","2014-12-10","ATL","PHI","HOME",82,56
"316","2014-12-10","CHA","BOS","HOME",93,66
"317","2014-12-10","CHI","BKN","HOME",79,55
"318","2014-12-10","DAL","NOP","HOME",77,77
"319","2014-12-10","DEN","MIA","HOME",83,56
"320","2014-12-10","GSW","HOU","HOME",88,72
"321","2014-12-10","IND","LAC","AWAY",100,77
"322","2014-12-10","MIN","POR","HOME",82,51
"323","2014-12-10","ORL","WAS","AWAY",83,74
"324","2014-12-10","SAS","NYK","HOME",59,57
"325","2014-12-11","OKC","CLE","HOME",75,54
"326","2014-12-11","SAC","HOU","AWAY",93,69
"327","2014-12-12","ATL","ORL","HOME",84,59
"328","2014-12-12","BKN","PHI","HOME",69,47
"329","2014-12-12","BOS","NYK","AWAY",84,71
"330","2014-12-12","CHI","POR","HOME",78,80
"331","2014-12-12","MEM","CHA","HOME",96,76
"332","2014-12-12","MIN","OKC","AWAY",77,70
"333","2014-12-12","NOP","CLE","HOME",71,77
"334","2014-12-12","PHX","DET","AWAY",69,64
"335","2014-12-12","SAS","LAL","AWAY",97,82
"336","2014-12-12","TOR","IND","HOME",95,69
"337","2014-12-12","UTA","MIA","AWAY",59,57
"338","2014-12-12","WAS","LAC","HOME",83,70
"339","2014-12-13","CHA","BKN","AWAY",66,63
"340","2014-12-13","DAL","GSW","AWAY",87,67
"341","2014-12-13","HOU","DEN","HOME",95,72
"342","2014-12-13","IND","POR","AWAY",104,68
"343","2014-12-13","MIL","LAC","HOME",75,67
"344","2014-12-13","ORL","ATL","HOME",84,71
"345","2014-12-13","PHI","MEM","AWAY",77,70
"346","2014-12-13","SAC","DET","AWAY",88,54
"347","2014-12-14","DEN","SAS","AWAY",84,63
"348","2014-12-14","MIA","CHI","AWAY",76,46
"349","2014-12-14","MIN","LAL","AWAY",94,68
"350","2014-12-14","NOP","GSW","AWAY",87,82
"351","2014-12-14","NYK","TOR","AWAY",89,65
"352","2014-12-14","OKC","PHX","HOME",68,44
"353","2014-12-14","WAS","UTA","HOME",79,64
"354","2014-12-15","ATL","CHI","HOME",98,64
"355","2014-12-15","CLE","CHA","HOME",75,69
"356","2014-12-15","IND","LAL","HOME",97,68
"357","2014-12-15","LAC","DET","HOME",67,64
"358","2014-12-15","PHI","BOS","AWAY",94,65
"359","2014-12-15","PHX","MIL","AWAY",74,59
"360","2014-12-15","POR","SAS","HOME",74,64
"361","2014-12-15","TOR","ORL","HOME",79,69
"362","2014-12-16","BKN","MIA","AWAY",76,57
"363","2014-12-16","MEM","GSW","HOME",99,79
"364","2014-12-16","NOP","UTA","HOME",58,77
"365","2014-12-16","NYK","DAL","AWAY",85,73
